Ref,Val,Package,PosX,PosY,Rot,Side
"1M1","R","R_0603_1608Metric",67.750000,-64.100000,90.000000,top
"1uF1","C","C_0603_1608Metric",68.875000,-73.350000,90.000000,top
"4.7nF1","C","C_0603_1608Metric",69.500000,-64.025000,90.000000,top
"4.7uF1","C","C_0805_2012Metric",53.500000,-65.300000,90.000000,top
"10k1","R","R_0603_1608Metric",68.150000,-67.250000,180.000000,top
"100nF1","C","C_0603_1608Metric",68.075000,-70.700000,180.000000,top
"100nF2","C","C_0603_1608Metric",55.650000,-64.200000,-90.000000,top
"J4","TC2070_-_Labelled","CONNECTOR_V1",54.365000,-75.170000,-90.000000,top
"U1","STM32G031K6Tx","LQFP-32_7x7mm_P0.8mm",61.075000,-69.700000,180.000000,top
"U3","E01-ML01S","E01-ML01S",55.961500,-43.061500,0.000000,top
